hicl,ingredient,support,total
4,digoxin,10925,15291
12,caffeine,20,20
25,theophylline,453,500
40,dobutamine hcl,19,19
57,atrovent,4777,11416
70,qvar,430,577
72,flunisolide,143,143
73,quinidine gluconate,9,9
75,quinidine sulfate,6,6
76,procainamide hcl,1,1
77,norpace,8,9
82,flecainide acetate,176,246
83,amiodarone,14758,31343
84,mexiletine hcl,164,164
89,hydralazine,19558,48514
91,prazosin hcl,175,201
92,diazoxide,56,65
93,minoxidil,389,390
94,terazosin hcl,1270,1284
99,reserpine/hydroflumethiazide,1,1
106,reserpine,1,1
113,clonidine hcl,4658,9323
118,methyldopa,44,45
120,intuniv,15,38
128,captopril,159,159
129,vaseretic,13,22
130,enalapril maleate,1006,1717
131,lisinopril-hydrochlorothiazide,496,882
132,lisinopril,43117,49751
136,2 ml - nitroprusside sodium,1542,1542
142,propranolol hcl/hydrochlorothiazide,1,1
143,lopressor hct,15,19
147,atenolol/chlorthalidone,18,39
150,iopamidol,3429,4519
151,iohexol,1167,1173
155,dihydroergotamine mesylate,12,14
159,nitroglycerin,14943,27176
166,isordil,268,510
168,dipyridamole,40,68
177,alprostadil,1,1
180,verapamil,619,874
181,nifedipine,1169,1935
182,diltiazem,8172,19145
183,10 ml - nicardipine hcl,865,887
184,nimodipine,63,63
187,sodium chloride,385,397
189,acetylcysteine,111,118
206,cheratussin ac,107,174
209,hydrocodone bit-guaifenesin,1,1
216,robitussin cough & cold cf,20,20
222,entex pac,7,8
223,mucinex dm,23,103
238,primatene asthma,3,3
250,guaifenesin-phenylephrine,2,6
270,mucinex d,6,6
271,guaifenesin,2043,3100
345,promethazine hcl/codeine,31,35
347,cotab a,2,2
352,tussionex,35,44
365,coricidin,7,7
366,promethazine dm,7,13
385,nyquil d,8,8
389,bromfed dm,2,2
392,robitussin nighttime cough dm,15,16
418,promethazine-phenylephrine,6,7
420,promethazine vc-codeine,1,1
425,well-tuss hd,2,2
435,allergy multi-symptom,1,3
436,excedrin sinus headache,2,3
443,dimetapp,1,2
487,hydrocod-cpm-pseudoephedrine,4,4
505,aprodine,7,9
516,water,72,72
517,albuterol inh soln (variable dose),1589,1591
523,sodium bicarbonate,17536,18815
525,lactated ringers,12305,39867
529,disulfiram,11,20
532,potassium sodium phosphate pwdpkt,2728,5242
537,anticoagulant sodium citrate,485,485
538,sodium chloride,1857,2016
540,sodium phosphate,13800,16195
545,potassium,23,41
546,potassium acetate,13,13
547,potassium bicarbonate,5,5
548,potassium citrate,49,74
549,potassium chloride,178484,270021
550,potassium,2217,2263
